state,county_fips,county_name,registered
AZ,04001,APACHE,45396
AZ,04003,COCHISE,82640
AZ,04005,COCONINO,98601
AZ,04007,GILA,38860
AZ,04009,GRAHAM,42264
AZ,04011,GREENLEE,4594
AZ,04012,LA PAZ,10668
AZ,04013,MARICOPA,2887403
AZ,04015,MOHAVE,153694
AZ,04017,NAVAJO,71369
AZ,04019,PIMA,720092
AZ,04021,PINAL,291907
AZ,04023,SANTA CRUZ,26962
AZ,04025,YAVAPAI,208132
AZ,04027,YUMA,94715
GA,,STATE FLOATING,1192
GA,13001,APPLING,11575
GA,13003,ATKINSON,4246
GA,13005,BACON,6721
GA,13007,BAKER,2050
GA,13009,BALDWIN,26146
GA,13011,BANKS,14610
GA,13013,BARROW,61019
GA,13015,BARTOW,79926
GA,13017,BEN HILL,9029
GA,13019,BERRIEN,11206
GA,13021,BIBB,96085
GA,13023,BLECKLEY,8394
GA,13025,BRANTLEY,11806
GA,13027,BROOKS,10014
GA,13029,BRYAN,34238
GA,13031,BULLOCH,45357
GA,13033,BURKE,15375
GA,13035,BUTTS,18082
GA,13037,CALHOUN,2856
GA,13039,CAMDEN,36657
GA,13043,CANDLER,6344
GA,13045,CARROLL,84019
GA,13047,CATOOSA,48664
GA,13049,CHARLTON,6428
GA,13051,CHATHAM,195985
GA,13053,CHATTAHOOCHEE,2353
GA,13055,CHATTOOGA,14869
GA,13057,CHEROKEE,225390
GA,13059,CLARKE,73454
GA,13061,CLAY,2003
GA,13063,CLAYTON,155179
GA,13065,CLINCH,4039
GA,13067,COBB,557457
GA,13069,COFFEE,21826
GA,13071,COLQUITT,23071
GA,13073,COLUMBIA,119333
GA,13075,COOK,10218
GA,13077,COWETA,119328
GA,13079,CRAWFORD,8806
GA,13081,CRISP,11272
GA,13083,DADE,11389
GA,13085,DAWSON,27194
GA,13087,DECATUR,16040
GA,13089,DEKALB,508344
GA,13091,DODGE,11597
GA,13093,DOOLY,5801
GA,13095,DOUGHERTY,47014
GA,13097,DOUGLAS,98224
GA,13099,EARLY,6776
GA,13101,ECHOLS,1997
GA,13103,EFFINGHAM,50339
GA,13105,ELBERT,13318
GA,13107,EMANUEL,13360
GA,13109,EVANS,5894
GA,13111,FANNIN,22356
GA,13113,FAYETTE,103657
GA,13115,FLOYD,62136
GA,13117,FORSYTH,192012
GA,13119,FRANKLIN,16861
GA,13121,FULTON,743361
GA,13123,GILMER,25668
GA,13125,GLASCOCK,2319
GA,13127,GLYNN,60989
GA,13129,GORDON,38342
GA,13131,GRADY,14886
GA,13133,GREENE,17758
GA,13135,GWINNETT,584279
GA,13137,HABERSHAM,32333
GA,13139,HALL,141629
GA,13141,HANCOCK,5889
GA,13143,HARALSON,22728
GA,13145,HARRIS,31046
GA,13147,HART,19904
GA,13149,HEARD,8625
GA,13151,HENRY,179214
GA,13153,HOUSTON,113214
GA,13155,IRWIN,6031
GA,13157,JACKSON,65615
GA,13159,JASPER,12664
GA,13161,JEFF DAVIS,8156
GA,13163,JEFFERSON,10365
GA,13165,JENKINS,4735
GA,13167,JOHNSON,5533
GA,13169,JONES,22350
GA,13171,LAMAR,14461
GA,13173,LANIER,5189
GA,13175,LAURENS,32433
GA,13177,LEE,24560
GA,13179,LIBERTY,31983
GA,13181,LINCOLN,6849
GA,13183,LONG,9800
GA,13185,LOWNDES,66382
GA,13187,LUMPKIN,24733
GA,13189,MCDUFFIE,14635
GA,13191,MCINTOSH,10289
GA,13193,MACON,6508
GA,13195,MADISON,23315
GA,13197,MARION,5029
GA,13199,MERIWETHER,16372
GA,13201,MILLER,3783
GA,13205,MITCHELL,12329
GA,13207,MONROE,24589
GA,13209,MONTGOMERY,5518
GA,13211,MORGAN,18307
GA,13213,MURRAY,24261
GA,13215,MUSCOGEE,111793
GA,13217,NEWTON,82015
GA,13219,OCONEE,37899
GA,13221,OGLETHORPE,12253
GA,13223,PAULDING,132217
GA,13225,PEACH,18686
GA,13227,PICKENS,29049
GA,13229,PIERCE,13557
GA,13231,PIKE,17429
GA,13233,POLK,26626
GA,13235,PULASKI,6022
GA,13237,PUTNAM,17885
GA,13239,QUITMAN,1583
GA,13241,RABUN,14476
GA,13243,RANDOLPH,4153
GA,13245,RICHMOND,116081
GA,13247,ROCKDALE,62722
GA,13249,SCHLEY,3372
GA,13251,SCREVEN,9611
GA,13253,SEMINOLE,5565
GA,13255,SPALDING,45886
GA,13257,STEPHENS,18193
GA,13259,STEWART,2817
GA,13261,SUMTER,16735
GA,13263,TALBOT,4693
GA,13265,TALIAFERRO,1228
GA,13267,TATTNALL,11822
GA,13269,TAYLOR,5531
GA,13271,TELFAIR,5853
GA,13273,TERRELL,6029
GA,13275,THOMAS,30667
GA,13277,TIFT,23596
GA,13279,TOOMBS,15156
GA,13281,TOWNS,12275
GA,13283,TREUTLEN,4335
GA,13285,TROUP,43478
GA,13287,TURNER,5324
GA,13289,TWIGGS,6189
GA,13291,UNION,24833
GA,13293,UPSON,18975
GA,13295,WALKER,44564
GA,13297,WALTON,81078
GA,13299,WARE,19989
GA,13301,WARREN,3600
GA,13303,WASHINGTON,13185
GA,13305,WAYNE,18835
GA,13307,WEBSTER,1856
GA,13309,WHEELER,3161
GA,13311,WHITE,23368
GA,13313,WHITFIELD,55317
GA,13315,WILCOX,4649
GA,13317,WILKES,7081
GA,13319,WILKINSON,6817
GA,13321,WORTH,12929
NC,37001,ALAMANCE,124765
NC,37003,ALEXANDER,28718
NC,37005,ALLEGHANY,9022
NC,37007,ANSON,15104
NC,37009,ASHE,22574
NC,37011,AVERY,13179
NC,37013,BEAUFORT,36906
NC,37015,BERTIE,12758
NC,37017,BLADEN,23283
NC,37019,BRUNSWICK,151914
NC,37021,BUNCOMBE,222931
NC,37023,BURKE,63676
NC,37025,CABARRUS,166947
NC,37027,CALDWELL,60472
NC,37029,CAMDEN,8756
NC,37031,CARTERET,63635
NC,37033,CASWELL,16722
NC,37035,CATAWBA,120985
NC,37037,CHATHAM,72640
NC,37039,CHEROKEE,24756
NC,37041,CHOWAN,10489
NC,37043,CLAY,10733
NC,37045,CLEVELAND,71814
NC,37047,COLUMBUS,37653
NC,37049,CRAVEN,77285
NC,37051,CUMBERLAND,195157
NC,37053,CURRITUCK,25074
NC,37055,DARE,34994
NC,37057,DAVIDSON,129794
NC,37059,DAVIE,37292
NC,37061,DUPLIN,31806
NC,37063,DURHAM,251265
NC,37065,EDGECOMBE,33960
NC,37067,FORSYTH,282349
NC,37069,FRANKLIN,59260
NC,37071,GASTON,165633
NC,37073,GATES,8150
NC,37075,GRAHAM,6638
NC,37077,GRANVILLE,44596
NC,37079,GREENE,11736
NC,37081,GUILFORD,395907
NC,37083,HALIFAX,33285
NC,37085,HARNETT,88551
NC,37087,HAYWOOD,52571
NC,37089,HENDERSON,97186
NC,37091,HERTFORD,13636
NC,37093,HOKE,31621
NC,37095,HYDE,3362
NC,37097,IREDELL,153993
NC,37099,JACKSON,30475
NC,37101,JOHNSTON,173164
NC,37103,JONES,7588
NC,37105,LEE,41779
NC,37107,LENOIR,38199
NC,37109,LINCOLN,77197
NC,37111,MCDOWELL,32854
NC,37113,MACON,30464
NC,37115,MADISON,18918
NC,37117,MARTIN,16722
NC,37119,MECKLENBURG,802121
NC,37121,MITCHELL,12286
NC,37123,MONTGOMERY,18304
NC,37125,MOORE,85860
NC,37127,NASH,72876
NC,37129,NEW HANOVER,192686
NC,37131,NORTHAMPTON,12799
NC,37133,ONSLOW,113446
NC,37135,ORANGE,121954
NC,37137,PAMLICO,11078
NC,37139,PASQUOTANK,28254
NC,37141,PENDER,54040
NC,37143,PERQUIMANS,10647
NC,37145,PERSON,30606
NC,37147,PITT,121015
NC,37149,POLK,18150
NC,37151,RANDOLPH,105567
NC,37153,RICHMOND,27601
NC,37155,ROBESON,64958
NC,37157,ROCKINGHAM,68882
NC,37159,ROWAN,104714
NC,37161,RUTHERFORD,48153
NC,37163,SAMPSON,39168
NC,37165,SCOTLAND,20314
NC,37167,STANLY,50992
NC,37169,STOKES,37743
NC,37171,SURRY,52094
NC,37173,SWAIN,9794
NC,37175,TRANSYLVANIA,28861
NC,37177,TYRRELL,2440
NC,37179,UNION,193549
NC,37181,VANCE,27906
NC,37183,WAKE,907750
NC,37185,WARREN,13907
NC,37187,WASHINGTON,8256
NC,37189,WATAUGA,45965
NC,37191,WAYNE,76058
NC,37193,WILKES,50444
NC,37195,WILSON,55618
NC,37197,YADKIN,28329
NC,37199,YANCEY,15674
NV,32001,CHURCHILL,18751
NV,32003,CLARK,1432026
NV,32005,DOUGLAS,49376
NV,32007,ELKO,31186
NV,32009,ESMERALDA,639
NV,32011,EUREKA,1429
NV,32013,HUMBOLDT,11153
NV,32015,LANDER,3785
NV,32017,LINCOLN,3431
NV,32019,LYON,46585
NV,32021,MINERAL,3178
NV,32023,NYE,37494
NV,32027,PERSHING,3206
NV,32029,STOREY,4260
NV,32031,WASHOE,366058
NV,32033,WHITE PINE,6043
NV,32510,CARSON CITY,43138
PA,42001,ADAMS,84236
PA,42003,ALLEGHENY,1000700
PA,42005,ARMSTRONG,51554
PA,42007,BEAVER,131726
PA,42009,BEDFORD,39111
PA,42011,BERKS,291442
PA,42013,BLAIR,90207
PA,42015,BRADFORD,43322
PA,42017,BUCKS,556983
PA,42019,BUTLER,168667
PA,42021,CAMBRIA,98800
PA,42023,CAMERON,3082
PA,42025,CARBON,49160
PA,42027,CENTRE,112211
PA,42029,CHESTER,451339
PA,42031,CLARION,27407
PA,42033,CLEARFIELD,56153
PA,42035,CLINTON,25725
PA,42037,COLUMBIA,45244
PA,42039,CRAWFORD,59544
PA,42041,CUMBERLAND,206106
PA,42043,DAUPHIN,207675
PA,42045,DELAWARE,455794
PA,42047,ELK,23824
PA,42049,ERIE,191104
PA,42051,FAYETTE,88156
PA,42053,FOREST,3681
PA,42055,FRANKLIN,116506
PA,42057,FULTON,11357
PA,42059,GREENE,23939
PA,42061,HUNTINGDON,32161
PA,42063,INDIANA,58651
PA,42065,JEFFERSON,32124
PA,42067,JUNIATA,16811
PA,42069,LACKAWANNA,161931
PA,42071,LANCASTER,401746
PA,42073,LAWRENCE,65431
PA,42075,LEBANON,102350
PA,42077,LEHIGH,263625
PA,42079,LUZERNE,216875
PA,42081,LYCOMING,82896
PA,42083,MCKEAN,27336
PA,42085,MERCER,81125
PA,42087,MIFFLIN,30654
PA,42089,MONROE,118785
PA,42091,MONTGOMERY,723481
PA,42093,MONTOUR,13761
PA,42095,NORTHAMPTON,247521
PA,42097,NORTHUMBERLAND,60447
PA,42099,PERRY,35729
PA,42101,PHILADELPHIA,998572
PA,42103,PIKE,48542
PA,42105,POTTER,12618
PA,42107,SCHUYLKILL,101644
PA,42109,SNYDER,27831
PA,42111,SOMERSET,56779
PA,42113,SULLIVAN,5168
PA,42115,SUSQUEHANNA,31117
PA,42117,TIOGA,29982
PA,42119,UNION,29428
PA,42121,VENANGO,37128
PA,42123,WARREN,28782
PA,42125,WASHINGTON,168912
PA,42127,WAYNE,40894
PA,42129,WESTMORELAND,293681
PA,42131,WYOMING,20906
PA,42133,YORK,346125
